PROVIDER,CLASSIFICATION,DESCRIPTION,PRICE,UNIT
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Gentamicin 0.003,135,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Gentian Violet 0.005,72,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Gentian Violet ,72,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Mupiricon 2% w/w,900,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Neomycin-Bacitracin Containing:     Neomycin Sulphate   5mg  plus Bacitracin
zinc 500 units/g in 5g & 30g tubes",135,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Neomycin-Bacitracin Containing:  Neomycin Sulphate 5mg plus  Bacitracin
zinc 250 units/g",180,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Neomycin-Bacitracin Containing:  Bacitracin, 12,500 units & Neomycin
Sulphate,  165,000 units",765,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Silver Sulphadiazine 0.01,360,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Betamethasone 0.1% (Valerate),225,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Betamethasone + Clioquinol 0.1% + 0.3%,270,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Betamethasone +Neomycin 0.1% + 0.5%,270,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Calamine Lotion ,180,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Clobetasol propionate 0.0005,765,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Clobetasone 0.0005,450,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Fluocinolone 0.0003,810,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Fluocinolone 0.025% +3% clioquinol,810,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Hydrocortisone 0.01,270,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Hydrocortisone (Plus) Neomycin 0.5 – 1% hydrocortisone  + 0.25 – 0.5% Neomycin,270,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Methyl Salicylate 4 – 20% methyl salicylate),225,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Calamine + Zinc oxide ,180,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Benzoyl Peroxide 10%, 5%, 2.5%",810,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Benzoyl Peroxide 10%, 5%, 2.5%",810,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Benzyl Benzoate 0.25,198,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Crotamiton 0.1,594,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Crotamiton 0.1,495,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Monosulfiram 0.05,135,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Permethrine 5%, 1% respectively",90,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Clotrimazole 0.01,180,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Clotrimazole 0.01,225,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Clotrimazole 0.01,180,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Clotrimazole ,315,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Clotrimazole ,450,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Ketoconazole 0.02,495,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Miconazole 2 – 2.5%,900,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Miconazole 0.02,360,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Miconazole 0.02,450,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Miconazole ,630,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Miconazole ,450,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Miconazole + Hydrocortisone 2%  +  1%,1080,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Nystatin 100,000 units",450,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Sulphur + Mesulphen Sulphur 10-20% + Mesulphen 64%,225,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Tioconazole 0.01,360,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Tioconazole 3s,540,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Benzoic acid + salicylic acid 6% + 3%,180,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Coal Tar 1-10%,900,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Dithranol 0.1 - 2%,900,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Podophyllum resin 10- 25%,1350,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Salicylic acid 12% in flexible collodion,135,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Salicylic acid 2-5%,162,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Chloramphenicol 0.05,135,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Gentamicin 0.3%  (Sulphate),135,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Betamethasone ,225,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Hydrocortisone + Neomycin Hydrocortisone       1.5% (Acetate)      +  Neomycin 0.5%
(Sulphate)",324,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Bethamethasone + Neomycin 0.1% + 0.5%,225,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Dexamethasone + Neomycin 0.1% + 3200 unit/ml,315,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Flumethasone plus clioquinol 0.02% + 1% clioquinol,630,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Hydrocortisone + Neomycin + polymyxin B Hydrocortisone 1.0% (Acetate)      + Neomycin 3400 units
(Sulphate) + polymyxin B 10,000 units/10mls",450,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Glycerol plus sodium bicarbonate ,585,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Chlorbutanol +Paradichlorobenzine+ Arachis oil +
Turpentine oil ",720,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Beclomethasone Dipropionate (aerosol)  0.05mg / metered spray,1350,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Ephedrine 0.005,360,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Pseudoephedrine (HCL) 60mg,4.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Pseudoephedrine (HCL) 30mg/5ml,270,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Tripolidine (HCL)  + Pseudoephedrine (HCL) 60mg + 2.5mg,45,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Tripolidine (HCL)  + Pseudoephedrine (HCL) 30mg  +  1.2mg,315,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Xylomethazoline 0.0025,675,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Xylomethazoline 0.005,675,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Xylomethazoline + Antazoline 0.25% + 0.5%  (paed),270,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Xylomethazoline + Antazoline Adult,360,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Silver nitrate 0.005,594,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Dequalinium 250mg,9,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Dequalinium 250mg (HCL),405,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Dichlrobenzyl alchohol + Amylmetacresol ,36,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Aluminium hydroxide 320mg/5ml,180,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Aluminium hydroxide 500mg,4.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Aluminium hydroxide +Magnesium Hydroxide
+Simethicone 200mg+200mg +30mg",4.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Aluminium hydroxide +Magnesium Hydroxide
+Simethicone 6gm+80mg+100mg+/- 400mg",360,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Aluminium hydroxide +Magnesium trisilicate 120 mg + 250 mg,4.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Aluminium hydroxide +Magnesium trisilicate BP,270,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Magnesium Trisilicate 500mg,4.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Magnesium Trisilicate 250mg/ml,270,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Metoclopramide 10mg  (HCL),6.3,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Metoclopramide 5mg/5ml  (HCL),180,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Metoclopramide 5mg/ml  (HCL),27,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Prochlorperazine 5 mg,4.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Prochlorperazine 25 mg,9,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Prochlorperazine 5 mg/ 5 ml,315,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Prochlorperazine 12.5 mg/ml in 1 ml & 2 ml Ampoules,63,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Promethazine 10 and 25 mg (HCL),4.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Promethazine 5mg/5ml   (HCL),108,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Promethazine 25mg/ml  (HCL) in 2ml Ampoules,18,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Promethazine theoclate ,13.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Homatrropine methyl bromide 2mg/ml,414,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Hysocine N-butylbro-Mide 10mg,9,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Hysocine N-butylbro-Mide 1mg/ml,360,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Hysocine N-butylbro-Mide 20mg/ml in 1ml Ampoule,45,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Bisacodyl 5mg,4.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Bisacodyl 5 & 10mg,117,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Liquid Paraffin 5mg/10ml of emulsion,198,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Senna ,27,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Diphenoxylate hydrochloride + Atropine sulphate 2.5mg + 0.025mg,9,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Loperamide 2mg,14.85,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Oral Rehydration Salt Glucose 13.5 g, Potassium  Cl.  1.5g, Sodium bicarbonate
2.5%, Sodium  Chloride  2.6g",45,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Aluminium Actate +Hydrocortisone+ Lidocaine
+Zinc oxide 50mg +5mg + 60mg",99,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Benzyl benzoate + bismuth Oxide + Bismuth
subgallate+ Hydrocortisone 33mg + 24mg + 59mg",99,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Benzyl benzoate + bismuth Oxide + Bismuth
subgallate+ Hydrocortisone + Peru balsam 33mg + 24mg + 59mg",99,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Cinchocaine hydrochloride +Prednisolone
hexanoate 1mg + 1.3mg",99,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Cimetidine 200mg,9,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Cimetidine 400mg,13.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Cimetidine 100mg/ml in 2 ml Ampoules,90,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Esomeprazole 20mg,31.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Lansoperazole 30mg,36,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Omeprazole 10mg, 20 mg",29.7,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Rabeprazole 20mg,63,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Ranitidine 150mg,14.85,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Ranitidine 300 mg  (HCL),27,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Ranitidine 25mg/ml in 2 ml Ampoules,198,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Dexamethasone 0.5mg and 4mg,4.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Dexamethasone 2mg/ml, 4mg/ml in 2ml Ampoule",18,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Fludrocortisone 0.1mg,4.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Hydrocortisone 100mg/vial,135,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Methyl prednisolone 40mg/ml I 2ml ampule,1080,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Predinsolone 1mg, 5mg",4.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Triamcinolone 10mg/40mg/ml,900,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Ethinyloestradiol 0.01mg, 0.05mg",45,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Hydroxyprogesterone Hexanoate 250mg/ml in 1ml, 2ml Ampoules",225,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Norethisterone 200mg/ml,180,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Bromocriptine 1mg, 2.5mg (Mesylate)",90,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Clomiphene 50mg (Citrate),450,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Chorionic gonadotropin 500 units  in Ampoule,3600,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Chorionic gonadotropin 1000 units in Ampoule,3600,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Danazol 100mg/200mg,270,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Biphasic Isophane Insulin Human Soluble Insulin 30%+isophane Insulin 70%,1620,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Insulin Soluble 40 units/ml,1620,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Insulin Soluble 100 units/ml,3330,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Insulin Zinc Suspension  (I.Z.S) 40 units/ml,1620,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Insulin Zinc Suspension  (I.Z.S) 100 units/ml,3330,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Isophane Insulin 100 units/ml,3330,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Protamine Zinc Insulin 100 units/ml,3330,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Chlorpropamide 250mg,22.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Metformin 500mg (HCL),13.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Glibenclamide 5mg,13.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Gliclazide 80mg,27,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Gliclazide 30mg,22.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Glimepiride 1mg,40.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Glimepiride 2mg,18,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Glimepiride 4mg,126,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Metformin 1000mg,18,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Metformin 850mg,14.4,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Metformin + Glabenclamide 500mg (HCL) +2.5mg,18,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Pioglitazone Hydrochloride 15mg,63,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Pioglitazone Hydrochloride 30mg,72,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Rosiglitazone 4mg,189,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Vildagliptin 50mg,198,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Vidagliptin + Metformin 50mg/500mg,198,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Vidagliptin + Metformin 50mg/1000mg,198,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Carbimazole 5mg,9,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Levothyroxine 0.05 mg (sodium salt),27,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Levothyroxine 0.1mg (sodium salt),27,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Lugol’s solution iodine 5%, potassium iodide  10% in purified water",90,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Propylthiouracil 50 mg,270,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Dutasteride ,180,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Finasteride 5mg,90,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Tamsulosin 400mcg,90,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Alpha interferon 4.5mu,5400,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Anti snake bite serum Polyvalent, 10 ml, 20 ml in Ampoule",4500,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Anti tetanus immunoglobin (human) 1500 units/amp,",135,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Anti tetanus immunoglobin (human) 10,000 units / ampoule",1080,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Anti-D (Rhesus) immunoglobulin (Humans) 300microgram (1,500 I.U)/ml",11700,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Hepatitis B Anti-serum 200iu,70875,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Hepatitis B Anti-serum 400iu,85050,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Rabies immunoglobin 150 unit in  ml in vial,2250,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Hepatitis B vaccines 10 doses/vial,2700,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Tetanus vaccine Formoltoxoid, 0.5 ml, 5 ml vial",180,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Hepatitis B Vaccine 0.02 mg/ml in 0.5 ml, 1 ml vial",2700,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,HPV Vaccine (Quadrivalent) 0.5mls single dose vial or prefilled inj,10800,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Meningococcal vaccine Powder for reconstitution in multidose vial of 0.5mg ,
2.5 mg",5805,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Pneumococcal Vaccine 55mcg/0.5ml,13905,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Rabies vaccine 1 ml,2745,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Typhoid vaccine (TAB) 1.5ml/vial,405,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Typhoid vaccine (VI antigen) 10 ml vial (20 doses), 25ml/vial (50 doses), 0.5 ml/syringe",360,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Acyclovir 0.03,450,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Chloramphenicol 0.01,135,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Chloramphenicol 0.005,135,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Ciprofloxacin 0.003,180,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Miconazole ,450,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Ofloxacin 0.003,270,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Oxytetracycline plus Polymyxin B 5mg + 10,000 unit",270,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Neomycin sulfate+Polymyxin B + Dexamethasone 3500 IU/6000iu/0.1%,630,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Antazoline HCL, Tetrazoline HCL, Methylhydroxy
Propyl cellulose. ",540,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Betamethasone 0,10%",270,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Betamethasone + Neomycin 0,10% +0.5%",270,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Dexamethasone 0.001,450,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Dexamethasone + Chloramphenicol +
Tetrahydrozolina ",585,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Hydrocortisone + Neomycin 1.5% + 0.5%,270,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Ketotifen 250mcg/ml,1440,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Prednisolone 1% (Acetate) 5% (Sodium phosphate),450,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Ringer’s Lactate ,135,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Betaxolol Hydrocloride 0.005,810,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Dorzolamide 0.02,3600,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Dorzolamide Hcl + Timolol 2% + 0.5%,5400,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Latanoprost 500mcg,4680,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Pilocarpine 2% & 4% (HCL),495,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Timolol 0.25, 0.5% (Maleate)",540,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Travoprost 40mcg/ml,8100,
